"* Source","* Valid","*Source Type","Source  ID","Source Name","Report Grouping","Report Order #","Pressure Zone","PS Code","* Description"," Comments","Street Name","Street Suffix","Street Direction","Street Number","Street Abbreviation","Suite Number","City","State","Zip code prefix","Zip code suffix"," Location"," Latitude"," Longitude","Lat/Long Coordinate Units"," Depth","Depth Units","Depth  Basis","Date Established","Date Discontinued"," GIS ID"," DMR ID","CIWQS Monitoring Location ID","Required Control Type"
"1003 RWSYS","N","NCW_DIST","","NCW",".",,"","","5600 Blk. Miramar Rd. at Eastgate Mall","","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"266 SYS","N","DIST_SYS","","SYS",".",,"","","Shoal Creek Dr-Pump St Hose Bib","1130 Golf Course Zone-stanchion no longer exists","","","","","","","","","","","Hose Bib","","","",,"","",,11/17/2005,"","","",""
"62 SYS","N","DIST_SYS","","SYS",".",,"","","Presidio & Cosoy","","","","","","","","","","","","","","","",,"","",,,"","","",""
"2008 RWSYS","N","NCW_DIST","","NCW",".",,"610","","7770 Miramar Rd @ Toppan Electronics","","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"17 SYS","N","DIST_SYS","","IMP",".",,"","","Chesterton SP","","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"111 SYS_MID","N","DIST_SYS","","IMP",".",,"849","","San Carlos Resv Middle","Tommy Dr @ Wingspan","","","","","","","","","","","Impound","","","",,"","",12/27/2002,,"","","",""
"54 SYS","N","DIST_SYS","","SYS",".",,"","","Linda Vista & Comstock","","","","","","","","","","","","","","","",,"","",,,"","","",""
"97 SYS","N","PLANTS","","PLANTS","Otay Plant",,"","","South SD Resv - Inlet","","","","","","","","","","","","Clearwell","","","",,"","",,,"","","",""
"296 SYS","N","DIST_SYS","","SYS",".",,"","","STA 351 + 45 ","CWA designation waiting for street address-not sampled since 2002","","","","","","","","","","","","","","",,"","",08/19/2002,,"","","",""
"111 SYS","N","DIST_SYS","","IMP",".",,"849","","San Carlos Reservoir","Tommy Dr @ Wingspan","","","","","","","","","","","Impound","","","",,"","",,12/27/2002,"","","",""
"109 SYS","N","DIST_SYS","","IMP",".",,"","","College Hts Tank","","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"50 SYS","N","DIST_SYS","","SYS",".",,"","","Mission Village Dr & Shawn Ave","559 Northwest Mesa Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"271 SYS","N","DIST_SYS","","SYS",".",,"","","Otay WD connection","stanchion no longer exists","","","","","","","","","","","","","","",,"","",,06/09/2000,"","","",""
"252 SYS","N","DIST_SYS","","SYS",".",,"594","","5897 Desert View Dr (across Street)","594 La Jolla Pacifica Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"156 SYS","N","DIST_SYS","","SYS",".",,"","","49th & Adams","","","","","","","","","","","","","","","",,"","",,,"","","",""
"120 SYS","N","REC_STA","","SYS",".",,"","","Otay County Park","Park no longer exists","","","","","","","","","","","Lower Otay Res","","","",,"","",,11/25/1992,"","","",""
"63 SYS","N","DIST_SYS","","SYS",".",,"","","Red Rock Dr & Waldgrove Pl","850 Scripps Valley Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"222 SYS","N","DIST_SYS","","SYS",".",,"","","10920 Roselle St","330 Torrey Pines Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"310 SYS ","N","DIST_SYS","","SYS",".",,"","","4535 Town Center Ct.","Town Center Drive","","","","","","","","","","","","","","",,"","",12/21/2004,,"","","",""
"390 SYS","N","LAB_SAMPLE","","LAB",".",,"","","Special sample ","Blind QC sample","","","","","","","","","","","","","","",,"","",12/19/2002,,"","","",""
"89 SYS","N","PLANTS","","PLANTS","Alvarado Plant",,"","","Alvarado Clearwells Outlet (base of dam) ","Alvarado Clearwell base of dam (dist sys entrance) - Sample point taken out of service in Dec 2004","","","","","","","","","","","","","","",,"","",,,"","","",""
"272 SYS","N","DIST_SYS","","SYS",".",,"","","Otay Mesa Road - after blend with Otay WD water","stanchion no longer exists","","","","","","","","","","","","","","",,"","",,06/09/2000,"","","",""
"12 SYS","N","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Bay View Resv","","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"337 SYS","N","DIST_SYS","","SYS",".",,"","","8555½ Run of the Knolls Drive-belongs to 326 Sys","950 Pressure Zone","","","","","","","","","","","","","","",,"","",04/10/2007,,"","","",""
"49 SYS","N","DIST_SYS","","SYS",".",,"","","LJ Shores & N Torrey Pines","610 North City  Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"92_SYS_STUDY","N","PLANTS","","PLANTS","Otay Plant",,"490","","Otay Treatment Plant Influent - for study","490 S San Diego Resv Zone","","","","","","","","","","","Lower Otay FP","","","",,"","",,,"","","",""
"1_SYS_STUDY","N","PLANTS","MIR FP","PLANTS","Miramar Plant",,"712","","Miramar Treatment Plant Influent - for study","712 Miramar Zone","","","","","","","","","","","Miramar FP","","","",,"","",,,"","","",""
"181 SYS","N","DIST_SYS","","SYS",".",,"","","Westview Pkwy and Galvin Ave","625 Mira Mesa Zone - Replaced  w/ 294 SYS","","","","","","","","","","","Stanchion","","","",,"","",,05/03/2002,"","","",""
"183 SYS","N","DIST_SYS","","SYS",".",,"","","11401 Cypress Wood Dr","","","","","","","","","","","","Hose Bib","","","",,"","",,11/29/2000,"","","",""
"260 SYS","N","DIST_SYS","","SYS",".",,"","","4250 Cartulina Rd","stanchion no longer exists","","","","","","","","","","","Sample Box","","","",,"","",,11/08/2000,"","","",""
"145 SYS","N","DIST_SYS","","SYS",".",,"","","Polk Ave & Fairmount Ave","","","","","","","","","","","","Stanchion_Lib","","","",,"","",,,"","","",""
