"csdspcode","name","p.code","p.value","depth.zone"
1559,"Lirobittium rugatum","P084",-3.566568381,"shallow"
1663,"Lirobittium sp","P084",18.10484605,"deep"
1663,"Lirobittium sp","P084",15.54375213,"mid"
1663,"Lirobittium sp","P084",-3.566568381,"shallow"
2724,"Lirobittium calenum","P084",18.10484605,"deep"
2724,"Lirobittium calenum","P084",15.54375213,"mid"
2724,"Lirobittium calenum","P084",-3.566568381,"shallow"
403,"Blepharipoda occidentalis","P085",NA,"deep"
403,"Blepharipoda occidentalis","P085",NA,"mid"
403,"Blepharipoda occidentalis","P085",-21.34549467,"shallow"
1544,"Boccardia basilaria","P086",NA,"deep"
1544,"Boccardia basilaria","P086",39.31772813,"mid"
1544,"Boccardia basilaria","P086",50.74630982,"shallow"
2235,"Boccardiella hamata","P087",89.00062449,"deep"
2235,"Boccardiella hamata","P087",NA,"mid"
2235,"Boccardiella hamata","P087",NA,"shallow"
186,"Brada pluribranchiata","P088",NA,"deep"
186,"Brada pluribranchiata","P088",-42.15124933,"mid"
186,"Brada pluribranchiata","P088",NA,"shallow"
222,"Brada pilosa","P089",NA,"deep"
222,"Brada pilosa","P089",-5.333834745,"mid"
222,"Brada pilosa","P089",29.28069325,"shallow"
822,"Branchiostoma californiense","P090",NA,"deep"
822,"Branchiostoma californiense","P090",NA,"mid"
822,"Branchiostoma californiense","P090",-19.47973767,"shallow"
1588,"Brisaster latifrons","P091",2.950057132,"deep"
1588,"Brisaster latifrons","P091",NA,"mid"
1588,"Brisaster latifrons","P091",NA,"shallow"
2607,"Brisaster sp","P091",2.950057132,"deep"
2607,"Brisaster sp","P091",NA,"mid"
2607,"Brisaster sp","P091",NA,"shallow"
2716,"Brisaster townsendi","P091",2.950057132,"deep"
2716,"Brisaster townsendi","P091",NA,"mid"
2716,"Brisaster townsendi","P091",NA,"shallow"
999,"Brissopsis pacifica","P092",-8.769752298,"deep"
999,"Brissopsis pacifica","P092",NA,"mid"
999,"Brissopsis pacifica","P092",NA,"shallow"
1897,"Byblis millsi","P093",-34.45625134,"deep"
1897,"Byblis millsi","P093",-4.664513984,"mid"
1897,"Byblis millsi","P093",33.432269,"shallow"
1898,"Byblis veleronis","P093",-34.45625134,"deep"
1898,"Byblis veleronis","P093",-4.664513984,"mid"
1898,"Byblis veleronis","P093",33.432269,"shallow"
729,"Micranellum crebricinctum","P094",-34.56798149,"deep"
729,"Micranellum crebricinctum","P094",-15.13318912,"mid"
729,"Micranellum crebricinctum","P094",2.90643104,"shallow"
1293,"Calinaticina oldroydii","P095",NA,"deep"
1293,"Calinaticina oldroydii","P095",23.88273383,"mid"
1293,"Calinaticina oldroydii","P095",36.24947174,"shallow"
667,"Calyptraea fastigiata","P096",NA,"deep"
667,"Calyptraea fastigiata","P096",19.64748751,"mid"
667,"Calyptraea fastigiata","P096",26.7877493,"shallow"
558,"Campylaspis canaliculata","P097",NA,"deep"
558,"Campylaspis canaliculata","P097",-6.270542547,"mid"
558,"Campylaspis canaliculata","P097",-2.015836168,"shallow"
872,"Campylaspis hartae","P098",NA,"deep"
872,"Campylaspis hartae","P098",-16.9174972,"mid"
872,"Campylaspis hartae","P098",NA,"shallow"
456,"Campylaspis rubromaculata","P099",-13.52059586,"deep"
456,"Campylaspis rubromaculata","P099",-2.481095628,"mid"
456,"Campylaspis rubromaculata","P099",4.168179769,"shallow"
1311,"Campylaspis maculinodulosa","P100",NA,"deep"
1311,"Campylaspis maculinodulosa","P100",NA,"mid"
1311,"Campylaspis maculinodulosa","P100",24.64014276,"shallow"
1449,"Metacarcinus gracilis","P101",NA,"deep"
1449,"Metacarcinus gracilis","P101",38.09389287,"mid"
1449,"Metacarcinus gracilis","P101",3.260233517,"shallow"
490,"Romaleon jordani","P102",NA,"deep"
490,"Romaleon jordani","P102",10.78271487,"mid"
490,"Romaleon jordani","P102",8.275840797,"shallow"
204,"Capitella teleta","P103",89.49453515,"deep"
204,"Capitella teleta","P103",83.76980623,"mid"
204,"Capitella teleta","P103",67.14508245,"shallow"
993,"Carazziella sp A","P104",NA,"deep"
993,"Carazziella sp A","P104",29.1406919,"mid"
993,"Carazziella sp A","P104",54.94728994,"shallow"
1109,"Cardiomya pectinata","P105",9.59975414,"deep"
1109,"Cardiomya pectinata","P105",-0.675630991,"mid"
1109,"Cardiomya pectinata","P105",NA,"shallow"
1671,"Cardiomya sp","P105",9.59975414,"deep"
1671,"Cardiomya sp","P105",-0.675630991,"mid"
1671,"Cardiomya sp","P105",NA,"shallow"
1943,"Cardiomya planetica","P105",9.59975414,"deep"
1943,"Cardiomya planetica","P105",-0.675630991,"mid"
1943,"Cardiomya planetica","P105",NA,"shallow"
953,"Caudina arenicola","P106",NA,"deep"
953,"Caudina arenicola","P106",18.24933012,"mid"
953,"Caudina arenicola","P106",NA,"shallow"
143,"Caulleriella alata","P107",NA,"deep"
143,"Caulleriella alata","P107",137.8462764,"mid"
143,"Caulleriella alata","P107",103.3385772,"shallow"
1926,"Caulleriella pacifica","P107",NA,"deep"
1926,"Caulleriella pacifica","P107",137.8462764,"mid"
1926,"Caulleriella pacifica","P107",103.3385772,"shallow"
189,"Chaetozone hartmanae","P108",0.115623808,"deep"
189,"Chaetozone hartmanae","P108",-8.593857267,"mid"
189,"Chaetozone hartmanae","P108",NA,"shallow"
1194,"Cephalophoxoides homilis","P109",-34.18424732,"deep"
1194,"Cephalophoxoides homilis","P109",-29.65361575,"mid"
1194,"Cephalophoxoides homilis","P109",NA,"shallow"
407,"Notopoma sp A","P110",NA,"deep"
407,"Notopoma sp A","P110",12.1769702,"mid"
407,"Notopoma sp A","P110",-13.82492847,"shallow"
892,"Ceriantharia","P111",-18.35194347,"deep"
892,"Ceriantharia","P111",12.45712726,"mid"
892,"Ceriantharia","P111",36.18064797,"shallow"
1736,"Arachnanthus sp A","P111",-18.35194347,"deep"
1736,"Arachnanthus sp A","P111",12.45712726,"mid"
1736,"Arachnanthus sp A","P111",36.18064797,"shallow"
1899,"Ceriantharia sp C","P111",-18.35194347,"deep"
1899,"Ceriantharia sp C","P111",12.45712726,"mid"
1899,"Ceriantharia sp C","P111",36.18064797,"shallow"
2042,"Ceriantharia sp N","P111",-18.35194347,"deep"
2042,"Ceriantharia sp N","P111",12.45712726,"mid"
2042,"Ceriantharia sp N","P111",36.18064797,"shallow"
2237,"Cerithiopsis sp","P112",NA,"deep"
2237,"Cerithiopsis sp","P112",13.55415226,"mid"
2237,"Cerithiopsis sp","P112",NA,"shallow"
1619,"Chaetopterus variopedatus Cmplx","P113",NA,"deep"
1619,"Chaetopterus variopedatus Cmplx","P113",NA,"mid"
1619,"Chaetopterus variopedatus Cmplx","P113",28.56221603,"shallow"
948,"Chaetozone armata","P114",NA,"deep"
948,"Chaetozone armata","P114",28.73412082,"mid"
948,"Chaetozone armata","P114",31.05342644,"shallow"
148,"Chaetozone corona","P115",NA,"deep"
148,"Chaetozone corona","P115",51.06824513,"mid"
148,"Chaetozone corona","P115",35.96697261,"shallow"
192,"Chaetozone setosa Cmplx","P116",2.773794415,"deep"
192,"Chaetozone setosa Cmplx","P116",28.68180877,"mid"
192,"Chaetozone setosa Cmplx","P116",25.08138731,"shallow"
1903,"Chaetozone hedgpethi","P116",2.773794415,"deep"
1903,"Chaetozone hedgpethi","P116",28.68180877,"mid"
1903,"Chaetozone hedgpethi","P116",25.08138731,"shallow"
1904,"Chaetozone spinosa","P116",2.773794415,"deep"
1904,"Chaetozone spinosa","P116",28.68180877,"mid"
1904,"Chaetozone spinosa","P116",25.08138731,"shallow"
1912,"Chaetozone sp SD3","P116",2.773794415,"deep"
1912,"Chaetozone sp SD3","P116",28.68180877,"mid"
1912,"Chaetozone sp SD3","P116",25.08138731,"shallow"
2035,"Chaetozone sp SD1","P116",2.773794415,"deep"
2035,"Chaetozone sp SD1","P116",28.68180877,"mid"
2035,"Chaetozone sp SD1","P116",25.08138731,"shallow"
2036,"Chaetozone sp SD2","P116",2.773794415,"deep"
2036,"Chaetozone sp SD2","P116",28.68180877,"mid"
2036,"Chaetozone sp SD2","P116",25.08138731,"shallow"
2128,"Chaetozone sp SD5","P116",2.773794415,"deep"
2128,"Chaetozone sp SD5","P116",28.68180877,"mid"
2128,"Chaetozone sp SD5","P116",25.08138731,"shallow"
2156,"Chaetozone sp SD4","P116",2.773794415,"deep"
2156,"Chaetozone sp SD4","P116",28.68180877,"mid"
2156,"Chaetozone sp SD4","P116",25.08138731,"shallow"
2172,"Chaetozone sp SD6","P116",2.773794415,"deep"
2172,"Chaetozone sp SD6","P116",28.68180877,"mid"
2172,"Chaetozone sp SD6","P116",25.08138731,"shallow"
2455,"Chaetozone commonalis","P116",2.773794415,"deep"
2455,"Chaetozone commonalis","P116",28.68180877,"mid"
2455,"Chaetozone commonalis","P116",25.08138731,"shallow"
2604,"Chaetozone senticosa","P116",2.773794415,"deep"
2604,"Chaetozone senticosa","P116",28.68180877,"mid"
2604,"Chaetozone senticosa","P116",25.08138731,"shallow"
2772,"Chaetozone bansei","P116",2.773794415,"deep"
2772,"Chaetozone bansei","P116",28.68180877,"mid"
2772,"Chaetozone bansei","P116",25.08138731,"shallow"
2773,"Chaetozone lunula","P116",2.773794415,"deep"
2773,"Chaetozone lunula","P116",28.68180877,"mid"
2773,"Chaetozone lunula","P116",25.08138731,"shallow"
661,"Chione sp","P117",NA,"deep"
661,"Chione sp","P117",133.3337268,"mid"
661,"Chione sp","P117",77.76728829,"shallow"
1651,"Chione undatella","P117",NA,"deep"
1651,"Chione undatella","P117",133.3337268,"mid"
1651,"Chione undatella","P117",77.76728829,"shallow"
201,"Chloeia pinnata","P118",26.91740939,"deep"
201,"Chloeia pinnata","P118",19.01864652,"mid"
201,"Chloeia pinnata","P118",37.60743944,"shallow"
295,"Chone sp","P119",26.71684639,"deep"
295,"Chone sp","P119",14.76184037,"mid"
295,"Chone sp","P119",4.610313072,"shallow"
988,"Dialychone veleronis","P119",26.71684639,"deep"
988,"Dialychone veleronis","P119",14.76184037,"mid"
988,"Dialychone veleronis","P119",4.610313072,"shallow"
989,"Dialychone trilineata","P119",26.71684639,"deep"
989,"Dialychone trilineata","P119",14.76184037,"mid"
989,"Dialychone trilineata","P119",4.610313072,"shallow"
990,"Dialychone albocincta","P119",26.71684639,"deep"
990,"Dialychone albocincta","P119",14.76184037,"mid"
990,"Dialychone albocincta","P119",4.610313072,"shallow"
991,"Paradialychone ecaudata","P119",26.71684639,"deep"
991,"Paradialychone ecaudata","P119",14.76184037,"mid"
991,"Paradialychone ecaudata","P119",4.610313072,"shallow"
992,"Jasmineira sp B","P119",26.71684639,"deep"
992,"Jasmineira sp B","P119",14.76184037,"mid"
992,"Jasmineira sp B","P119",4.610313072,"shallow"
1046,"Paradialychone paramollis","P119",26.71684639,"deep"
1046,"Paradialychone paramollis","P119",14.76184037,"mid"
1046,"Paradialychone paramollis","P119",4.610313072,"shallow"
1165,"Paradialychone harrisae","P119",26.71684639,"deep"
1165,"Paradialychone harrisae","P119",14.76184037,"mid"
1165,"Paradialychone harrisae","P119",4.610313072,"shallow"
1422,"Fabrisabella sp A","P119",26.71684639,"deep"
1422,"Fabrisabella sp A","P119",14.76184037,"mid"
1422,"Fabrisabella sp A","P119",4.610313072,"shallow"
1853,"Paradialychone eiffelturris","P119",26.71684639,"deep"
1853,"Paradialychone eiffelturris","P119",14.76184037,"mid"
1853,"Paradialychone eiffelturris","P119",4.610313072,"shallow"
1945,"Paradialychone bimaculata","P119",26.71684639,"deep"
1945,"Paradialychone bimaculata","P119",14.76184037,"mid"
1945,"Paradialychone bimaculata","P119",4.610313072,"shallow"
2632,"Chone sp SD3","P119",26.71684639,"deep"
2632,"Chone sp SD3","P119",14.76184037,"mid"
2632,"Chone sp SD3","P119",4.610313072,"shallow"
343,"Cirratulus sp SD1","P120",NA,"deep"
343,"Cirratulus sp SD1","P120",26.88225247,"mid"
343,"Cirratulus sp SD1","P120",41.27427354,"shallow"
2326,"Cirratulus multioculatus","P120",NA,"deep"
2326,"Cirratulus multioculatus","P120",26.88225247,"mid"
2326,"Cirratulus multioculatus","P120",41.27427354,"shallow"
2487,"Cirratulus sp SD2","P120",NA,"deep"
2487,"Cirratulus sp SD2","P120",26.88225247,"mid"
2487,"Cirratulus sp SD2","P120",41.27427354,"shallow"
2712,"Cirratulus sp","P120",NA,"deep"
2712,"Cirratulus sp","P120",26.88225247,"mid"
2712,"Cirratulus sp","P120",41.27427354,"shallow"
221,"Cirriformia sp","P121",NA,"deep"
221,"Cirriformia sp","P121",36.39988859,"mid"
221,"Cirriformia sp","P121",4.347447668,"shallow"
947,"Cirriformia spirabrancha","P121",NA,"deep"
947,"Cirriformia spirabrancha","P121",36.39988859,"mid"
947,"Cirriformia spirabrancha","P121",4.347447668,"shallow"
1843,"Cirriformia sp SD1","P121",NA,"deep"
1843,"Cirriformia sp SD1","P121",36.39988859,"mid"
1843,"Cirriformia sp SD1","P121",4.347447668,"shallow"
2133,"Cirriformia sp B","P121",NA,"deep"
2133,"Cirriformia sp B","P121",36.39988859,"mid"
2133,"Cirriformia sp B","P121",4.347447668,"shallow"
2148,"Cirriformia sp LA1","P121",NA,"deep"
2148,"Cirriformia sp LA1","P121",36.39988859,"mid"
2148,"Cirriformia sp LA1","P121",4.347447668,"shallow"
2306,"Cirriformia sp SD2","P121",NA,"deep"
2306,"Cirriformia sp SD2","P121",36.39988859,"mid"
2306,"Cirriformia sp SD2","P121",4.347447668,"shallow"
2586,"Cirriformia sp SD3","P121",NA,"deep"
2586,"Cirriformia sp SD3","P121",36.39988859,"mid"
2586,"Cirriformia sp SD3","P121",4.347447668,"shallow"
1643,"Cirrophorus branchiatus","P122",-2.844197497,"deep"
1643,"Cirrophorus branchiatus","P122",NA,"mid"
1643,"Cirrophorus branchiatus","P122",NA,"shallow"
1002,"Cirrophorus furcatus","P123",NA,"deep"
1002,"Cirrophorus furcatus","P123",20.37528275,"mid"
1002,"Cirrophorus furcatus","P123",15.53020841,"shallow"
152,"Clymenella complanata","P124",NA,"deep"
152,"Clymenella complanata","P124",-9.617556224,"mid"
152,"Clymenella complanata","P124",16.85045784,"shallow"
24,"Clymenura gracilis","P125",-31.43531477,"deep"
24,"Clymenura gracilis","P125",-36.01903426,"mid"
24,"Clymenura gracilis","P125",NA,"shallow"
660,"Compsomyax subdiaphana","P126",NA,"deep"
660,"Compsomyax subdiaphana","P126",41.18375385,"mid"
660,"Compsomyax subdiaphana","P126",51.79102264,"shallow"
1392,"Conus californicus","P127",NA,"deep"
1392,"Conus californicus","P127",132.7160796,"mid"
1392,"Conus californicus","P127",100.2107489,"shallow"
659,"Cooperella subdiaphana","P128",NA,"deep"
659,"Cooperella subdiaphana","P128",42.81984901,"mid"
659,"Cooperella subdiaphana","P128",47.20803189,"shallow"
658,"Caryocorbula luteola","P129",NA,"deep"
658,"Caryocorbula luteola","P129",34.17464629,"mid"
658,"Caryocorbula luteola","P129",NA,"shallow"
2343,"Caryocorbula porcella","P129",NA,"deep"
2343,"Caryocorbula porcella","P129",34.17464629,"mid"
2343,"Caryocorbula porcella","P129",NA,"shallow"
1227,"Laticorophium baconi","P130",NA,"deep"
1227,"Laticorophium baconi","P130",34.04024834,"mid"
1227,"Laticorophium baconi","P130",25.66352863,"shallow"
1823,"Monocorophium insidiosum","P130",NA,"deep"
1823,"Monocorophium insidiosum","P130",34.04024834,"mid"
1823,"Monocorophium insidiosum","P130",25.66352863,"shallow"
2063,"Sinocorophium sp","P130",NA,"deep"
2063,"Sinocorophium sp","P130",34.04024834,"mid"
2063,"Sinocorophium sp","P130",25.66352863,"shallow"
2213,"Monocorophium acherusicum","P130",NA,"deep"
2213,"Monocorophium acherusicum","P130",34.04024834,"mid"
2213,"Monocorophium acherusicum","P130",25.66352863,"shallow"
1177,"Corymorpha bigelowi","P131",NA,"deep"
1177,"Corymorpha bigelowi","P131",-25.34549828,"mid"
1177,"Corymorpha bigelowi","P131",6.570994358,"shallow"
2150,"Corymorpha sp","P131",NA,"deep"
2150,"Corymorpha sp","P131",-25.34549828,"mid"
2150,"Corymorpha sp","P131",6.570994358,"shallow"
2191,"Corymorpha palma","P131",NA,"deep"
2191,"Corymorpha palma","P131",-25.34549828,"mid"
2191,"Corymorpha palma","P131",6.570994358,"shallow"
227,"Cossura candida","P132",20.91035519,"deep"
227,"Cossura candida","P132",42.21857237,"mid"
227,"Cossura candida","P132",60.8858179,"shallow"
1536,"Cossura sp A","P132",20.91035519,"deep"
1536,"Cossura sp A","P132",42.21857237,"mid"
1536,"Cossura sp A","P132",60.8858179,"shallow"
1661,"Cossura sp","P132",20.91035519,"deep"
1661,"Cossura sp","P132",42.21857237,"mid"
1661,"Cossura sp","P132",60.8858179,"shallow"
493,"Crangon alaskensis","P133",NA,"deep"
493,"Crangon alaskensis","P133",NA,"mid"
493,"Crangon alaskensis","P133",-0.293758208,"shallow"
1185,"Crenella decussata","P134",NA,"deep"
1185,"Crenella decussata","P134",8.859293759,"mid"
1185,"Crenella decussata","P134",35.88348522,"shallow"
600,"Crepidula sp","P135",NA,"deep"
600,"Crepidula sp","P135",30.74217035,"mid"
600,"Crepidula sp","P135",31.33821972,"shallow"
703,"Crepidula perforans","P135",NA,"deep"
703,"Crepidula perforans","P135",30.74217035,"mid"
703,"Crepidula perforans","P135",31.33821972,"shallow"
1465,"Crepidula onyx","P135",NA,"deep"
1465,"Crepidula onyx","P135",30.74217035,"mid"
1465,"Crepidula onyx","P135",31.33821972,"shallow"
1473,"Crepidula glottidiarum","P135",NA,"deep"
1473,"Crepidula glottidiarum","P135",30.74217035,"mid"
1473,"Crepidula glottidiarum","P135",31.33821972,"shallow"
2644,"Garnotia naticarum","P135",NA,"deep"
2644,"Garnotia naticarum","P135",30.74217035,"mid"
2644,"Garnotia naticarum","P135",31.33821972,"shallow"
1579,"Cryptomya californica","P136",NA,"deep"
1579,"Cryptomya californica","P136",NA,"mid"
1579,"Cryptomya californica","P136",83.42579425,"shallow"
1068,"Cumella californica","P137",NA,"deep"
1068,"Cumella californica","P137",-5.010383268,"mid"
1068,"Cumella californica","P137",NA,"shallow"
704,"Cuspidaria parapodema","P138",20.74575646,"deep"
704,"Cuspidaria parapodema","P138",18.09486977,"mid"
704,"Cuspidaria parapodema","P138",NA,"shallow"
492,"Cyclaspis nubila","P139",NA,"deep"
492,"Cyclaspis nubila","P139",NA,"mid"
492,"Cyclaspis nubila","P139",-5.611241303,"shallow"
1286,"Cyclocardia ventricosa","P140",30.35551858,"deep"
1286,"Cyclocardia ventricosa","P140",-31.47276207,"mid"
1286,"Cyclocardia ventricosa","P140",NA,"shallow"
657,"Cylichna diegensis","P141",52.20449726,"deep"
657,"Cylichna diegensis","P141",37.12507701,"mid"
657,"Cylichna diegensis","P141",26.47397619,"shallow"
1163,"Decamastus gracilis","P142",58.23361769,"deep"
1163,"Decamastus gracilis","P142",54.51864773,"mid"
1163,"Decamastus gracilis","P142",74.77713695,"shallow"
496,"Deilocerus planus","P143",NA,"deep"
496,"Deilocerus planus","P143",0.846042857,"mid"
496,"Deilocerus planus","P143",29.63553548,"shallow"
708,"Delectopecten vancouverensis","P144",-4.568018178,"deep"
708,"Delectopecten vancouverensis","P144",-41.97190894,"mid"
708,"Delectopecten vancouverensis","P144",NA,"shallow"
792,"Dendraster terminalis","P145",NA,"deep"
792,"Dendraster terminalis","P145",10.44952734,"mid"
792,"Dendraster terminalis","P145",-10.24833038,"shallow"
655,"Dentalium neohexagonum","P146",5.742597325,"deep"
655,"Dentalium neohexagonum","P146",8.422606976,"mid"
655,"Dentalium neohexagonum","P146",-2.964478857,"shallow"
1327,"Dentalium vallicolens","P146",5.742597325,"deep"
1327,"Dentalium vallicolens","P146",8.422606976,"mid"
1327,"Dentalium vallicolens","P146",-2.964478857,"shallow"
515,"Diastylis californica","P147",NA,"deep"
515,"Diastylis californica","P147",16.93301154,"mid"
515,"Diastylis californica","P147",13.30331491,"shallow"
1419,"Diastylis sentosa","P148",-0.712187438,"deep"
1419,"Diastylis sentosa","P148",NA,"mid"
1419,"Diastylis sentosa","P148",NA,"shallow"
1574,"Diastylis pellucida","P149",39.52499191,"deep"
1574,"Diastylis pellucida","P149",NA,"mid"
1574,"Diastylis pellucida","P149",NA,"shallow"
1073,"Diastylis crenellata","P150",8.116977777,"deep"
1073,"Diastylis crenellata","P150",0.532146723,"mid"
1073,"Diastylis crenellata","P150",NA,"shallow"
514,"Diastylopsis tenuis","P151",NA,"deep"
514,"Diastylopsis tenuis","P151",18.16787434,"mid"
514,"Diastylopsis tenuis","P151",-33.16293259,"shallow"
66,"Diopatra ornata","P152",25.34062657,"deep"
66,"Diopatra ornata","P152",35.95111579,"mid"
66,"Diopatra ornata","P152",20.15083581,"shallow"
1015,"Diopatra splendidissima","P153",NA,"deep"
1015,"Diopatra splendidissima","P153",9.21576186,"mid"
1015,"Diopatra splendidissima","P153",12.97752409,"shallow"
850,"Diopatra tridentata","P154",NA,"deep"
850,"Diopatra tridentata","P154",15.5031389,"mid"
850,"Diopatra tridentata","P154",8.483873557,"shallow"
174,"Dorvillea (Schistomeringos) longicornis","P155",104.058732,"deep"
174,"Dorvillea (Schistomeringos) longicornis","P155",123.5436299,"mid"
174,"Dorvillea (Schistomeringos) longicornis","P155",114.532634,"shallow"
1723,"Dorvillea (Schistomeringos) annulata","P155",104.058732,"deep"
1723,"Dorvillea (Schistomeringos) annulata","P155",123.5436299,"mid"
1723,"Dorvillea (Schistomeringos) annulata","P155",114.532634,"shallow"
2193,"Dorvillea (Schistomeringos) sp","P155",104.058732,"deep"
2193,"Dorvillea (Schistomeringos) sp","P155",123.5436299,"mid"
2193,"Dorvillea (Schistomeringos) sp","P155",114.532634,"shallow"
783,"Dougaloplus amphacanthus","P156",-12.45409454,"deep"
783,"Dougaloplus amphacanthus","P156",-47.68791442,"mid"
783,"Dougaloplus amphacanthus","P156",NA,"shallow"
1172,"Dougaloplus sp A","P156",-12.45409454,"deep"
1172,"Dougaloplus sp A","P156",-47.68791442,"mid"
1172,"Dougaloplus sp A","P156",NA,"shallow"
1530,"Dougaloplus sp","P156",-12.45409454,"deep"
1530,"Dougaloplus sp","P156",-47.68791442,"mid"
1530,"Dougaloplus sp","P156",NA,"shallow"
25,"Drilonereis longa","P157",0.303232242,"deep"
25,"Drilonereis longa","P157",19.90622176,"mid"
25,"Drilonereis longa","P157",13.249622,"shallow"
58,"Drilonereis sp","P157",0.303232242,"deep"
58,"Drilonereis sp","P157",19.90622176,"mid"
58,"Drilonereis sp","P157",13.249622,"shallow"
1261,"Drilonereis nuda","P157",0.303232242,"deep"
1261,"Drilonereis nuda","P157",19.90622176,"mid"
1261,"Drilonereis nuda","P157",13.249622,"shallow"
1715,"Drilonereis falcata","P157",0.303232242,"deep"
1715,"Drilonereis falcata","P157",19.90622176,"mid"
1715,"Drilonereis falcata","P157",13.249622,"shallow"
1886,"Drilonereis sp A","P157",0.303232242,"deep"
1886,"Drilonereis sp A","P157",19.90622176,"mid"
1886,"Drilonereis sp A","P157",13.249622,"shallow"
2135,"Drilonereis mexicana","P157",0.303232242,"deep"
2135,"Drilonereis mexicana","P157",19.90622176,"mid"
2135,"Drilonereis mexicana","P157",13.249622,"shallow"
2651,"Drilonereis filum","P157",0.303232242,"deep"
2651,"Drilonereis filum","P157",19.90622176,"mid"
2651,"Drilonereis filum","P157",13.249622,"shallow"
2822,"Drilonereis sp LA1","P157",0.303232242,"deep"
2822,"Drilonereis sp LA1","P157",19.90622176,"mid"
2822,"Drilonereis sp LA1","P157",13.249622,"shallow"
109,"Eclysippe trilobata","P158",-41.26853476,"deep"
109,"Eclysippe trilobata","P158",-30.67242606,"mid"
109,"Eclysippe trilobata","P158",NA,"shallow"
508,"Edotia sublittoralis","P159",NA,"deep"
508,"Edotia sublittoralis","P159",8.10908331,"mid"
508,"Edotia sublittoralis","P159",-9.767040494,"shallow"
1612,"Edotia sp B","P159",NA,"deep"
1612,"Edotia sp B","P159",8.10908331,"mid"
1612,"Edotia sp B","P159",-9.767040494,"shallow"
1668,"Edotia sp","P159",NA,"deep"
1668,"Edotia sp","P159",8.10908331,"mid"
1668,"Edotia sp","P159",-9.767040494,"shallow"
2167,"Edotia sp SD1","P159",NA,"deep"
2167,"Edotia sp SD1","P159",8.10908331,"mid"
2167,"Edotia sp SD1","P159",-9.767040494,"shallow"
833,"Edwardsia olguini","P160",5.779622911,"deep"
833,"Edwardsia olguini","P160",34.7314178,"mid"
833,"Edwardsia olguini","P160",15.33546266,"shallow"
1826,"Edwardsiidae","P160",5.779622911,"deep"
1826,"Edwardsiidae","P160",34.7314178,"mid"
1826,"Edwardsiidae","P160",15.33546266,"shallow"
1856,"Edwardsia juliae","P160",5.779622911,"deep"
1856,"Edwardsia juliae","P160",34.7314178,"mid"
1856,"Edwardsia juliae","P160",15.33546266,"shallow"
2122,"Edwardsia californica","P160",5.779622911,"deep"
2122,"Edwardsia californica","P160",34.7314178,"mid"
2122,"Edwardsia californica","P160",15.33546266,"shallow"
2565,"Metedwardsia sp A","P160",5.779622911,"deep"
2565,"Metedwardsia sp A","P160",34.7314178,"mid"
2565,"Metedwardsia sp A","P160",15.33546266,"shallow"
2718,"Edwardsia profunda","P160",5.779622911,"deep"
2718,"Edwardsia profunda","P160",34.7314178,"mid"
2718,"Edwardsia profunda","P160",15.33546266,"shallow"
691,"Ennucula tenuis","P161",-4.549085759,"deep"
691,"Ennucula tenuis","P161",-0.374138022,"mid"
691,"Ennucula tenuis","P161",15.5577083,"shallow"
728,"Ensis myrae","P162",NA,"deep"
728,"Ensis myrae","P162",26.47073571,"mid"
728,"Ensis myrae","P162",-1.474279215,"shallow"
813,"Enteropneusta","P163",2.466443016,"deep"
813,"Enteropneusta","P163",11.42300989,"mid"
813,"Enteropneusta","P163",55.12070874,"shallow"
814,"Hemichordata","P163",2.466443016,"deep"
814,"Hemichordata","P163",11.42300989,"mid"
814,"Hemichordata","P163",55.12070874,"shallow"
1821,"Balanoglossus sp","P163",2.466443016,"deep"
1821,"Balanoglossus sp","P163",11.42300989,"mid"
1821,"Balanoglossus sp","P163",55.12070874,"shallow"
1822,"Stereobalanus sp","P163",2.466443016,"deep"
1822,"Stereobalanus sp","P163",11.42300989,"mid"
1822,"Stereobalanus sp","P163",55.12070874,"shallow"
1827,"Schizocardium sp","P163",2.466443016,"deep"
1827,"Schizocardium sp","P163",11.42300989,"mid"
1827,"Schizocardium sp","P163",55.12070874,"shallow"
1902,"Saccoglossus sp","P163",2.466443016,"deep"
1902,"Saccoglossus sp","P163",11.42300989,"mid"
1902,"Saccoglossus sp","P163",55.12070874,"shallow"
2043,"Saccoglossus sp SD1","P163",2.466443016,"deep"
2043,"Saccoglossus sp SD1","P163",11.42300989,"mid"
2043,"Saccoglossus sp SD1","P163",55.12070874,"shallow"
2509,"Entodesma brevifrons","P164",NA,"deep"
2509,"Entodesma brevifrons","P164",2.217768085,"mid"
2509,"Entodesma brevifrons","P164",NA,"shallow"
9,"Ephesiella brevicapitis","P165",NA,"deep"
9,"Ephesiella brevicapitis","P165",-7.477176404,"mid"
9,"Ephesiella brevicapitis","P165",25.95982551,"shallow"
654,"Epitoniidae","P166",NA,"deep"
654,"Epitoniidae","P166",29.47561014,"mid"
654,"Epitoniidae","P166",1.069702048,"shallow"
1017,"Opalia borealis","P166",NA,"deep"
1017,"Opalia borealis","P166",29.47561014,"mid"
1017,"Opalia borealis","P166",1.069702048,"shallow"
1207,"Epitonium bellastriatum","P166",NA,"deep"
1207,"Epitonium bellastriatum","P166",29.47561014,"mid"
1207,"Epitonium bellastriatum","P166",1.069702048,"shallow"
1208,"Epitonium (Asperiscala) sp","P166",NA,"deep"
1208,"Epitonium (Asperiscala) sp","P166",29.47561014,"mid"
